invoice_id,project_id,invoice_date,amount_pln,status
FA/2024/00000001,PRJ002,2024-02-01,5087.0,Paid
FA/2024/00000002,PRJ008,2024-02-01,17647.0,Paid
FA/2024/00000003,PRJ010,2024-02-01,12845.0,Paid
FA/2024/00000004,PRJ012,2024-02-01,48419.67,Paid
FA/2024/00000005,PRJ019,2024-02-01,24639.0,Pending
FA/2024/00000006,PRJ020,2024-02-01,45139.0,Paid
FA/2024/00000007,PRJ005,2024-03-01,66566.0,Paid
FA/2024/00000008,PRJ002,2024-03-02,5812.0,Paid
FA/2024/00000009,PRJ008,2024-03-02,18984.0,Paid
FA/2024/00000010,PRJ010,2024-03-02,14218.0,Paid
FA/2024/00000011,PRJ012,2024-03-02,49212.67,Paid
FA/2024/00000012,PRJ019,2024-03-02,27029.0,Pending
FA/2024/00000013,PRJ020,2024-03-02,48379.0,Paid
FA/2024/00000014,PRJ005,2024-03-31,72489.0,Overdue
FA/2024/00000015,PRJ002,2024-04-01,9759.0,Paid
FA/2024/00000016,PRJ003,2024-04-01,9078.67,Paid
FA/2024/00000017,PRJ008,2024-04-01,17415.0,Paid
FA/2024/00000018,PRJ010,2024-04-01,12502.0,Pending
FA/2024/00000019,PRJ012,2024-04-01,56575.67,Paid
FA/2024/00000020,PRJ014,2024-04-01,25814.0,Paid
FA/2024/00000021,PRJ015,2024-04-01,24049.0,Paid
FA/2024/00000022,PRJ018,2024-04-01,34519.0,Paid
FA/2024/00000023,PRJ019,2024-04-01,27099.0,Paid
FA/2024/00000024,PRJ020,2024-04-01,49446.0,Paid
FA/2024/00000025,PRJ005,2024-04-30,63998.0,Paid
FA/2024/00000026,PRJ001,2024-05-01,49669.0,Paid
FA/2024/00000027,PRJ002,2024-05-01,5990.0,Paid
FA/2024/00000028,PRJ003,2024-05-01,9745.67,Paid
FA/2024/00000029,PRJ008,2024-05-01,13688.0,Paid
FA/2024/00000030,PRJ010,2024-05-01,11084.0,Paid
FA/2024/00000031,PRJ013,2024-05-01,45668.33,Paid
FA/2024/00000032,PRJ014,2024-05-01,19597.0,Paid
FA/2024/00000033,PRJ015,2024-05-01,20426.0,Paid
FA/2024/00000034,PRJ018,2024-05-01,38791.0,Paid
FA/2024/00000035,PRJ019,2024-05-01,32524.0,Paid
FA/2024/00000036,PRJ020,2024-05-01,40727.0,Paid
FA/2024/00000037,PRJ001,2024-05-31,44588.0,Paid
FA/2024/00000038,PRJ002,2024-05-31,7316.0,Paid
FA/2024/00000039,PRJ003,2024-05-31,3401.67,Paid
FA/2024/00000040,PRJ010,2024-05-31,17400.0,Paid
FA/2024/00000041,PRJ013,2024-05-31,46658.33,Paid
FA/2024/00000042,PRJ014,2024-05-31,21018.0,Paid
FA/2024/00000043,PRJ015,2024-05-31,18685.0,Paid
FA/2024/00000044,PRJ018,2024-05-31,34978.0,Paid
FA/2024/00000045,PRJ020,2024-05-31,40027.0,Paid
FA/2024/00000046,PRJ006,2024-06-01,6821.0,Paid
FA/2024/00000047,PRJ007,2024-06-01,14733.0,Paid
FA/2024/00000048,PRJ009,2024-06-01,36724.0,Paid
FA/2024/00000049,PRJ011,2024-06-01,113586.0,Paid
FA/2024/00000050,PRJ001,2024-06-30,48804.0,Paid
FA/2024/00000051,PRJ003,2024-06-30,11182.67,Paid
FA/2024/00000052,PRJ010,2024-06-30,17166.0,Paid
FA/2024/00000053,PRJ013,2024-06-30,46447.33,Paid
FA/2024/00000054,PRJ014,2024-06-30,23166.0,Paid
FA/2024/00000055,PRJ015,2024-06-30,18653.0,Paid
FA/2024/00000056,PRJ018,2024-06-30,34414.0,Paid
FA/2024/00000057,PRJ004,2024-07-01,30099.0,Paid
FA/2024/00000058,PRJ006,2024-07-01,14238.0,Paid
FA/2024/00000059,PRJ007,2024-07-01,15140.0,Paid
FA/2024/00000060,PRJ009,2024-07-01,28700.0,Overdue
FA/2024/00000061,PRJ011,2024-07-01,106197.0,Paid
FA/2024/00000062,PRJ003,2024-07-30,11022.67,Paid
FA/2024/00000063,PRJ014,2024-07-30,26114.0,Paid
FA/2024/00000064,PRJ015,2024-07-30,21441.0,Pending
FA/2024/00000065,PRJ018,2024-07-30,35814.0,Paid
FA/2024/00000066,PRJ004,2024-07-31,35261.0,Paid
FA/2024/00000067,PRJ006,2024-07-31,14701.0,Pending
FA/2024/00000068,PRJ007,2024-07-31,6743.0,Paid
FA/2024/00000069,PRJ016,2024-08-01,42908.0,Paid
FA/2024/00000070,PRJ003,2024-08-29,3694.67,Paid
FA/2024/00000071,PRJ014,2024-08-29,25882.0,Paid
FA/2024/00000072,PRJ015,2024-08-29,19684.0,Paid
FA/2024/00000073,PRJ018,2024-08-29,35823.0,Pending
FA/2024/00000074,PRJ004,2024-08-30,33945.0,Paid
FA/2024/00000075,PRJ006,2024-08-30,14320.0,Paid
FA/2024/00000076,PRJ007,2024-08-30,14962.0,Paid
FA/2024/00000077,PRJ016,2024-08-31,38782.0,Overdue
FA/2024/00000078,PRJ017,2024-09-01,50242.0,Paid
FA/2024/00000079,PRJ014,2024-09-28,20707.0,Paid
FA/2024/00000080,PRJ018,2024-09-28,39596.0,Paid
FA/2024/00000081,PRJ004,2024-09-29,30072.0,Pending
FA/2024/00000082,PRJ006,2024-09-29,9044.0,Paid
FA/2024/00000083,PRJ007,2024-09-29,10583.0,Paid
FA/2024/00000084,PRJ016,2024-09-30,40128.0,Pending
FA/2024/00000085,PRJ017,2024-10-01,51545.0,Paid
FA/2024/00000086,PRJ014,2024-10-28,21317.0,Paid
FA/2024/00000087,PRJ018,2024-10-28,40035.0,Paid
FA/2024/00000088,PRJ004,2024-10-29,33771.0,Paid
FA/2024/00000089,PRJ006,2024-10-29,7113.0,Paid
FA/2024/00000090,PRJ016,2024-10-30,39150.0,Pending
FA/2024/00000091,PRJ017,2024-10-31,48865.0,Paid
FA/2024/00000092,PRJ004,2024-11-28,34829.0,Paid
FA/2024/00000093,PRJ006,2024-11-28,9853.0,Paid
FA/2024/00000094,PRJ017,2024-11-30,46571.0,Paid
FA/2024/00000095,PRJ004,2024-12-28,36480.0,Paid
FA/2024/00000096,PRJ017,2024-12-30,45434.0,Paid
FA/2025/00000001,PRJ024,2025-01-01,44037.71,Paid
FA/2025/00000002,PRJ026,2025-01-01,47431.0,Paid
FA/2025/00000003,PRJ033,2025-01-01,70723.0,Paid
FA/2025/00000004,PRJ034,2025-01-01,75863.0,Paid
FA/2025/00000005,PRJ004,2025-01-27,35348.0,Paid
FA/2025/00000006,PRJ024,2025-01-31,39065.71,Paid
FA/2025/00000007,PRJ026,2025-01-31,44291.0,Paid
FA/2025/00000008,PRJ033,2025-01-31,71477.0,Pending
FA/2025/00000009,PRJ034,2025-01-31,75855.0,Paid
FA/2025/00000010,PRJ027,2025-02-01,7006.0,Paid
FA/2025/00000011,PRJ029,2025-02-01,40439.0,Paid
FA/2025/00000012,PRJ021,2025-03-01,9654.33,Pending
FA/2025/00000013,PRJ022,2025-03-01,16191.0,Paid
FA/2025/00000014,PRJ025,2025-03-01,17784.0,Paid
FA/2025/00000015,PRJ032,2025-03-01,31024.0,Paid
FA/2025/00000016,PRJ024,2025-03-02,40934.71,Paid
FA/2025/00000017,PRJ026,2025-03-02,41997.0,Paid
FA/2025/00000018,PRJ027,2025-03-03,12611.0,Paid
FA/2025/00000019,PRJ029,2025-03-03,36999.0,Paid
FA/2025/00000020,PRJ021,2025-03-31,4061.33,Paid
FA/2025/00000021,PRJ022,2025-03-31,14344.0,Paid
FA/2025/00000022,PRJ025,2025-03-31,11193.0,Paid
FA/2025/00000023,PRJ032,2025-03-31,32057.0,Paid
FA/2025/00000024,PRJ023,2025-04-01,27806.0,Paid
FA/2025/00000025,PRJ024,2025-04-01,41776.71,Paid
FA/2025/00000026,PRJ026,2025-04-01,38090.0,Paid
FA/2025/00000027,PRJ027,2025-04-02,13257.0,Paid
FA/2025/00000028,PRJ029,2025-04-02,37181.0,Paid
FA/2025/00000029,PRJ021,2025-04-30,1979.33,Paid
FA/2025/00000030,PRJ022,2025-04-30,12643.0,Paid
FA/2025/00000031,PRJ032,2025-04-30,33151.0,Pending
FA/2025/00000032,PRJ023,2025-05-01,31243.0,Paid
FA/2025/00000033,PRJ024,2025-05-01,40133.71,Paid
FA/2025/00000034,PRJ026,2025-05-01,39746.0,Pending
FA/2025/00000035,PRJ028,2025-05-01,22976.0,Paid
