timesheet_id,employee_id,project_id,date,hours,type
TS00001,EMP002,PRJ023,19.08.2024,5.6,internal
TS00002,EMP008,PRJ013,23/01/2024,5.3,billable
TS00003,EMP007,PRJ030,17.12.2025,2.8,billable
TS00004,EMP004,PRJ011,14/11/2024,1.8,billable
TS00005,EMP013,PRJ026,22.07.2024,1.5,billable
TS00006,EMP010,PRJ008,04/08/2025,6.5,billable
TS00007,EMP021,PRJ022,2024-01-15,6.9,internal
TS00008,EMP015,PRJ010,21.03.2025,2.2,billable
TS00009,EMP018,PRJ031,21/04/2025,4.0,billable
TS00010,EMP003,PRJ018,08.04.2025,2.7,billable
TS00011,EMP016,PRJ021,05/07/2024,4.4,billable
TS00012,EMP023,PRJ018,2025-07-23,1.1,internal
TS00013,EMP018,PRJ016,08/12/2025,4.3,billable
TS00014,EMP008,PRJ026,09/12/2025,2.7,billable
TS00015,EMP014,PRJ022,26/12/2024,5.9,billable
TS00016,EMP011,PRJ008,2025-07-02,7.7,billable
TS00017,EMP024,PRJ034,2025-09-03,3.0,billable
TS00018,EMP010,PRJ001,2025-12-26,4.7,billable
TS00019,EMP005,PRJ032,15/04/2024,7.1,billable
TS00020,EMP002,PRJ017,06/05/2025,1.8,billable
TS00021,EMP002,PRJ010,2024-06-03,6.7,internal
TS00022,EMP025,PRJ027,12.09.2025,5.2,billable
TS00023,EMP010,PRJ028,08.11.2024,5.0,billable
TS00024,EMP021,PRJ014,2024-09-27,5.6,billable
TS00025,EMP014,PRJ029,2025-12-08,5.2,billable
TS00026,EMP015,PRJ005,04.12.2025,2.6,billable
TS00027,EMP007,PRJ028,29/04/2024,4.8,billable
TS00028,EMP006,PRJ020,01/09/2025,6.2,billable
TS00029,EMP010,PRJ026,2024-10-07,4.5,billable
TS00030,EMP024,PRJ021,10.09.2025,2.8,billable
TS00031,EMP001,PRJ018,13/08/2025,1.3,internal
TS00032,EMP009,PRJ012,2025-08-22,4.1,internal
TS00033,EMP011,PRJ007,13/06/2024,3.3,billable
TS00034,EMP025,PRJ003,2025-04-10,1.6,billable
TS00035,EMP017,PRJ001,2025-11-04,7.1,billable
TS00036,EMP025,PRJ032,02/10/2025,4.1,billable
TS00037,EMP015,PRJ032,2024-05-06,1.2,billable
TS00038,EMP001,PRJ027,2024-04-05,2.6,internal
TS00039,EMP005,PRJ032,25/10/2024,4.6,billable
TS00040,EMP018,PRJ010,27.01.2025,2.3,billable
TS00041,EMP009,PRJ027,2024-12-16,7.5,billable
TS00042,EMP019,PRJ032,03/06/2024,4.1,billable
TS00043,EMP015,PRJ021,12/07/2024,7.9,billable
TS00044,EMP002,PRJ021,29/04/2025,5.9,internal
TS00045,EMP021,PRJ010,22.05.2025,7.8,billable
TS00046,EMP015,PRJ007,2025-06-24,7.4,billable
TS00047,EMP005,PRJ005,25.04.2025,6.5,billable
TS00048,EMP011,PRJ035,24/01/2025,7.7,billable
TS00049,EMP003,PRJ016,2025-10-08,5.8,billable
TS00050,EMP004,PRJ007,2025-04-01,2.2,billable
TS00051,EMP010,PRJ023,20/01/2025,4.0,billable
TS00052,EMP006,PRJ012,21.03.2024,5.3,billable
TS00053,EMP005,PRJ015,17.04.2025,5.5,
TS00054,EMP010,PRJ035,10.06.2024,1.5,internal
TS00055,EMP023,PRJ017,14/04/2025,6.9,billable
TS00056,EMP013,PRJ023,2025-08-11,3.1,billable
TS00057,EMP009,PRJ001,2025-08-04,7.1,internal
TS00058,EMP010,PRJ015,2025-09-15,6.6,billable
TS00059,EMP024,PRJ009,2025-10-07,1.7,billable
TS00060,EMP019,PRJ024,14.05.2024,1.6,billable
